; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1540156680,"CurrentTimeLocal","Sun Oct 21 14:18:00 2018","Hostname","nid02171","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 6.3e-05
; "Time_ContextDestroy [ms]", 6.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",361,0,0,11,69,"Success",0.000245,0.010817,0.008471,0.000238,0.004397,0.004299,8.6e-05,0.001297,0.030036,2896,0,2888,3.0568968641e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",6859,0,0,0,70,"Warmup",0.000507,0.200428,0.183329,0.010148,0.128732,0.106968,0.002577,0.002154,0.635147,54880,0,54872,1.7439430658e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",6859,0,0,1,70,"Warmup",0.000248,0.16564,0.162236,0.004854,0.107071,0.106529,0.002559,0.00169,0.551311,54880,0,54872,1.7439430658e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",6859,0,0,2,70,"Success",0.000278,0.163701,0.16238,0.004897,0.10693,0.106489,0.002578,0.001771,0.549303,54880,0,54872,1.7439430658e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",6859,0,0,3,70,"Success",0.000295,0.162512,0.161602,0.004881,0.107038,0.106395,0.00258,0.001799,0.547363,54880,0,54872,1.7439430658e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",6859,0,0,4,70,"Success",0.000279,0.16288,0.16144,0.004848,0.107189,0.10641,0.002539,0.00171,0.547529,54880,0,54872,1.7439430658e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",6859,0,0,5,70,"Success",0.000266,0.162508,0.161016,0.004838,0.106809,0.106444,0.002566,0.001703,0.546422,54880,0,54872,1.7439430658e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",6859,0,0,6,70,"Success",0.000263,0.162082,0.167166,0.004696,0.106801,0.1065,0.002563,0.001759,0.55212,54880,0,54872,1.7439430658e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",6859,0,0,7,70,"Success",0.000276,0.162581,0.161271,0.004893,0.106928,0.10644,0.002568,0.001828,0.547063,54880,0,54872,1.7439430658e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",6859,0,0,8,70,"Success",0.000253,0.162443,0.160871,0.004784,0.106805,0.106387,0.002546,0.001725,0.546115,54880,0,54872,1.7439430658e-16,0
