; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065374720,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1540697996,"CurrentTimeLocal","Sat Oct 27 20:39:56 2018","Hostname","nid01146","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7e-05
; "Time_ContextDestroy [ms]", 0.000147
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",131071,0,0,2,2,"Success",0.008942,18.637823,6.816259,0.794228,4.790309,3.25843,0.085322,1.837131,36.229169,1048568,0,1048568,1.7740442375e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",131071,0,0,3,2,"Success",0.008961,18.984799,6.727035,0.773335,4.78232,3.320149,0.085578,1.849436,36.532272,1048568,0,1048568,1.7740442375e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",131071,0,0,4,2,"Success",0.009642,18.089112,6.961457,0.758626,4.939448,3.306429,0.08545,1.826012,35.976904,1048568,0,1048568,1.7740442375e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",131071,0,0,5,2,"Success",0.008948,18.216688,6.908966,0.775655,4.838375,3.308556,0.085635,1.825849,35.969405,1048568,0,1048568,1.7740442375e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",131071,0,0,6,2,"Success",0.00878,18.152887,6.81886,0.787343,4.763558,3.329138,0.085679,1.835479,35.782489,1048568,0,1048568,1.7740442375e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",131071,0,0,7,2,"Success",0.008881,18.372773,6.892673,0.774755,4.803355,3.335728,0.085239,1.825184,36.099305,1048568,0,1048568,1.7740442375e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",131071,0,0,8,2,"Success",0.008927,18.156082,6.788356,0.778027,4.827926,3.369347,0.085524,1.85973,35.874673,1048568,0,1048568,1.7740442375e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",131071,0,0,9,2,"Success",0.008962,18.051639,6.920499,0.775366,4.797392,3.320797,0.085378,1.842873,35.803697,1048568,0,1048568,1.7740442375e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",131071,0,0,10,2,"Success",0.00902,18.126092,6.881841,0.759032,4.786783,3.267373,0.085492,1.847874,35.764252,1048568,0,1048568,1.7740442375e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",131071,0,0,11,2,"Success",0.008836,18.423214,6.855529,0.790726,4.838736,3.355253,0.08538,1.819419,36.177772,1048568,0,1048568,1.7740442375e-07,0
