; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1540674234,"CurrentTimeLocal","Sat Oct 27 14:03:54 2018","Hostname","nid01889","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7e-05
; "Time_ContextDestroy [ms]", 2.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",361,0,0,11,52,"Success",0.00024,0.010142,0.008546,0.000101,0.004818,0.004774,4.4e-05,0.001215,0.030098,1448,0,1444,8.0903496972e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",6859,0,0,0,53,"Warmup",0.000542,0.188761,0.167143,0.005115,0.122223,0.116961,0.00121,0.00191,0.604105,27440,0,27436,8.3824241456e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",6859,0,0,1,53,"Warmup",0.00031,0.171394,0.159075,0.002035,0.119103,0.116651,0.0012,0.001959,0.571952,27440,0,27436,8.3824241456e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",6859,0,0,2,53,"Success",0.000279,0.161167,0.157595,0.001987,0.119049,0.118321,0.001206,0.00174,0.56156,27440,0,27436,8.3824241456e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",6859,0,0,3,53,"Success",0.000271,0.161066,0.157567,0.00196,0.119102,0.118332,0.001196,0.001734,0.561464,27440,0,27436,8.3824241456e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",6859,0,0,4,53,"Success",0.000263,0.160914,0.157088,0.001988,0.118977,0.118309,0.001188,0.001668,0.560621,27440,0,27436,8.3824241456e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",6859,0,0,5,53,"Success",0.000229,0.160231,0.157152,0.001997,0.118959,0.118385,0.001188,0.001648,0.560004,27440,0,27436,8.3824241456e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",6859,0,0,6,53,"Success",0.000245,0.160093,0.156278,0.001917,0.118925,0.118255,0.001192,0.001703,0.558825,27440,0,27436,8.3824241456e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",6859,0,0,7,53,"Success",0.000225,0.15981,0.156674,0.001967,0.124152,0.118859,0.001233,0.00182,0.565002,27440,0,27436,8.3824241456e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",6859,0,0,8,53,"Success",0.000244,0.160802,0.157047,0.00196,0.118964,0.118314,0.001203,0.001726,0.560471,27440,0,27436,8.3824241456e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",6859,0,0,9,53,"Success",0.000238,0.160071,0.156755,0.001976,0.118898,0.11831,0.001179,0.001677,0.559336,27440,0,27436,8.3824241456e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",6859,0,0,10,53,"Success",0.000286,0.159563,0.157129,0.001952,0.11902,0.118407,0.001201,0.001633,0.559401,27440,0,27436,8.3824241456e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"oddshape",6859,0,0,11,53,"Success",0.000235,0.160279,0.156645,0.002004,0.119163,0.118277,0.0012,0.001646,0.559674,27440,0,27436,8.3824241456e-08,0
