; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1540722755,"CurrentTimeLocal","Sun Oct 28 03:32:35 2018","Hostname","nid00725","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 5.2e-05
; "Time_ContextDestroy [ms]", 7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,2,70,"Success",0.006702,50.789951,53.288131,0.00542,0.376249,0.161021,0.007877,0.39565,105.03161,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,3,70,"Success",0.005576,51.794868,51.914682,0.005119,0.410478,0.163845,0.008283,0.395621,104.699098,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,4,70,"Success",0.005646,51.542223,52.35707,0.004994,0.378181,0.167266,0.008126,0.397396,104.861546,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,5,70,"Success",0.005573,52.169718,53.090852,0.004916,0.36325,0.171069,0.008019,0.397051,106.211009,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,6,70,"Success",0.005459,52.405772,52.831663,0.005957,0.354575,0.189891,0.008235,0.400713,106.202803,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,7,70,"Success",0.005547,52.431095,52.630837,0.005647,0.331216,0.173252,0.007513,0.393163,105.978837,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,8,70,"Success",0.005681,52.410619,53.28303,0.007186,0.346221,0.171121,0.007761,0.419232,106.651536,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,9,70,"Success",0.005518,51.062064,52.978521,0.004881,0.391664,0.164621,0.008144,0.397957,105.014015,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,10,70,"Success",0.005613,50.742438,52.656449,0.005145,0.317857,0.163722,0.00804,0.403649,104.303573,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,11,70,"Success",0.006512,51.558005,50.596508,0.004814,0.366944,0.164363,0.007149,0.395507,103.100471,54872,0,54872,5.7146074527e-08,0
