; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1538716216,"CurrentTimeLocal","Thu Oct  4 22:10:16 2018","Hostname","nid01031","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7e-05
; "Time_ContextDestroy [ms]", 3.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",361,0,0,11,69,"Success",0.000271,0.010629,0.00849,0.000201,0.004383,0.004387,8.1e-05,0.001324,0.029955,2896,0,2888,3.0568968641e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",6859,0,0,0,70,"Warmup",0.000465,0.197071,0.184944,0.010099,0.12604,0.106331,0.002534,0.002044,0.629791,54880,0,54872,1.7439430658e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",6859,0,0,1,70,"Warmup",0.000281,0.165785,0.162286,0.004632,0.106378,0.105925,0.002585,0.001787,0.549918,54880,0,54872,1.7439430658e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",6859,0,0,2,70,"Success",0.000274,0.163229,0.161033,0.004629,0.106116,0.105927,0.002569,0.001834,0.545863,54880,0,54872,1.7439430658e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",6859,0,0,3,70,"Success",0.000254,0.1624,0.161644,0.004632,0.10615,0.10585,0.00257,0.001805,0.545544,54880,0,54872,1.7439430658e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",6859,0,0,4,70,"Success",0.000249,0.162715,0.160332,0.004555,0.106114,0.106044,0.002579,0.001725,0.544577,54880,0,54872,1.7439430658e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",6859,0,0,5,70,"Success",0.000258,0.162324,0.160584,0.004601,0.105918,0.112773,0.002694,0.001922,0.551326,54880,0,54872,1.7439430658e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",6859,0,0,6,70,"Success",0.000261,0.162137,0.160714,0.004633,0.105955,0.105876,0.002567,0.001783,0.544162,54880,0,54872,1.7439430658e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",6859,0,0,7,70,"Success",0.000277,0.161942,0.160647,0.004684,0.106075,0.105969,0.002573,0.00173,0.54415,54880,0,54872,1.7439430658e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",6859,0,0,8,70,"Success",0.000252,0.161808,0.161526,0.004673,0.105921,0.106004,0.002559,0.001699,0.544707,54880,0,54872,1.7439430658e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",6859,0,0,9,70,"Success",0.000279,0.161818,0.161161,0.004602,0.106004,0.105933,0.002528,0.001694,0.544282,54880,0,54872,1.7439430658e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",6859,0,0,10,70,"Success",0.00027,0.162236,0.160441,0.004586,0.105979,0.105841,0.0025,0.001751,0.54384,54880,0,54872,1.7439430658e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",6859,0,0,11,70,"Success",0.000284,0.161673,0.16058,0.004599,0.106056,0.106185,0.002558,0.001722,0.543873,54880,0,54872,1.7439430658e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",130321,0,0,0,71,"Warmup",0.000585,3.383163,3.236177,0.182526,3.34657,2.74278,0.079614,0.002787,12.974656,1042576,0,1042568,2.8612059858e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",130321,0,0,1,71,"Warmup",0.000353,3.16361,3.070609,0.075926,2.967244,2.739886,0.079799,0.002725,12.100497,1042576,0,1042568,2.8612059858e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",130321,0,0,2,71,"Success",0.000363,3.174487,3.069695,0.075769,2.967376,2.738103,0.079758,0.002675,12.108661,1042576,0,1042568,2.8612059858e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",130321,0,0,3,71,"Success",0.000357,3.173091,3.076427,0.075557,2.901595,2.740187,0.079523,0.002756,12.049902,1042576,0,1042568,2.8612059858e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",130321,0,0,4,71,"Success",0.000338,3.166588,3.079264,0.075649,2.899674,2.746868,0.079534,0.002759,12.05109,1042576,0,1042568,2.8612059858e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",130321,0,0,5,71,"Success",0.000354,3.171482,3.073776,0.075734,2.89862,2.780639,0.079623,0.002792,12.083425,1042576,0,1042568,2.8612059858e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",130321,0,0,6,71,"Success",0.000351,3.205544,3.113811,0.075804,2.9647,2.77653,0.079628,0.00261,12.219429,1042576,0,1042568,2.8612059858e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",130321,0,0,7,71,"Success",0.000347,3.17085,3.077573,0.075779,2.932849,2.731233,0.079788,0.00269,12.071545,1042576,0,1042568,2.8612059858e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",130321,0,0,8,71,"Success",0.00035,3.172824,3.078488,0.0756,2.954599,2.731998,0.079701,0.002716,12.096663,1042576,0,1042568,2.8612059858e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",130321,0,0,9,71,"Success",0.000333,3.179088,3.112533,0.075699,2.968891,2.731323,0.08,0.002674,12.151031,1042576,0,1042568,2.8612059858e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",130321,0,0,10,71,"Success",0.000376,3.162234,3.075907,0.076118,2.907425,2.731886,0.087471,0.002676,12.044509,1042576,0,1042568,2.8612059858e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",130321,0,0,11,71,"Success",0.000323,3.164486,3.075574,0.075783,2.910048,2.737929,0.079704,0.002721,12.047008,1042576,0,1042568,2.8612059858e-16,0
